actor,name,year,variable,type,BirthYear,gender,age
蒋勤勤,青河绝恋,2000,actor2,drama,1975,女,25
蒋勤勤,白发魔女,1999,actor2,drama,1975,女,24
蒋雯丽,好想好想谈恋爱,2004,actor1,drama,1969,女,35
蒋雯丽,中国式离婚,2004,actor2,drama,1969,女,35
蒋雯丽,大宅门,2001,actor4,drama,1969,女,32
蒋雯丽,金婚,2007,actor2,drama,1969,女,38
蒋欣,欢乐颂,2016,actor2,drama,1983,女,33
蒋欣,花千骨,2015,actor3,drama,1983,女,32
蒋欣,后宫·甄嬛传,2011,actor5,drama,1983,女,28
焦恩俊,小李飞刀,1999,actor1,drama,1967,男,32
焦恩俊,宝莲灯,2005,actor3,drama,1967,男,38
焦晃,北平无战事,2014,actor3,drama,1936,男,78
焦晃,汉武大帝,2005,actor2,drama,1936,男,69
焦晃,雍正王朝,1999,actor2,drama,1936,男,63
焦俊艳,法医秦明,2016,actor2,drama,1987,女,29
焦俊艳,遇见王沥川,2016,actor2,drama,1987,女,29
金晨,无心法师,2015,actor2,drama,1990,女,25
金世佳,爱情公寓,2009,actor2,drama,1986,男,23
金珠,东北一家人,2002,actor3,drama,NA,女,NA
靳东,我的前半生,2017,actor1,drama,1976,男,41
靳东,伪装者,2015,actor2,drama,1976,男,39
靳东,鬼吹灯之精绝古城,2016,actor1,drama,1976,男,40
康凯,三国,2010,actor5,drama,1972,男,38
柯蓝,人民的名义,2017,actor2,drama,1972,女,45
孔连顺,无心法师,2015,actor5,drama,1986,男,29
寇世勋,橘子红了,2002,actor4,drama,1954,男,48
寇世勋,像雾像雨又像风,2001,actor5,drama,1954,男,47
寇振海,金粉世家,2003,actor4,drama,1954,男,49
寇振海,情深深雨濛濛,2001,actor5,drama,1954,男,47
寇振海,至尊红颜,2003,actor3,drama,1954,男,49
雷佳音,我的前半生,2017,actor4,drama,1983,男,34
雷佳音,和平饭店,2018,actor2,drama,1983,男,35
雷恪生,乔家大院,2006,actor3,drama,1936,男,70
黎伟,毛骗 第二季,2011,actor4,drama,1986,男,25
黎伟,毛骗 终结篇,2015,actor5,drama,1986,男,29
黎伟,毛骗 第一季,2010,actor4,drama,1986,男,24
李滨,魔幻手机,2008,actor1,drama,1982,男,26
李冰冰,少年张三丰,2001,actor2,drama,1973,女,28
李冰冰,少年包青天,2000,actor4,drama,1973,女,27
李彩桦,杜拉拉升职记,2010,actor3,drama,1983,女,27
李晨,大军师司马懿之军师联盟,2017,actor3,drama,1978,男,39
