actor,name,year,variable,type,BirthYear,gender,age
尼古拉·科斯特-瓦尔道,权力的游戏 第四季 Game of Thrones Season 4,2014,actor2,drama,1970,男,44
乔安娜 克里斯蒂,毒枭 第一季 Narcos Season 1,2015,actor2,drama,1982,女,33
乔恩·哈姆,广告狂人 第一季 Mad Men Season 1,2007,actor1,drama,1971,男,36
乔恩·克莱尔,好汉两个半  第一季 Two and a Half Men Season 1,2003,actor2,drama,1965,男,38
乔纳森·班克斯,风骚律师 第四季 Better Call Saul Season 4,2018,actor2,drama,1947,男,71
乔纳森·班克斯,风骚律师 第一季 Better Call Saul Season 1,2015,actor3,drama,1947,男,68
乔纳森·莱斯·梅耶斯,都铎王朝 第一季 The Tudors Season 1,2007,actor1,drama,1977,男,30
乔什·哈洛威,迷失 第一季 Lost Season 1,2004,actor4,drama,1969,男,35
乔什·拉德诺,老爸老妈的浪漫史 第二季 How I Met Your Mother Season 2,2006,actor1,drama,1974,男,32
乔什·拉德诺,老爸老妈的浪漫史 第一季 How I Met Your Mother Season 1,2005,actor1,drama,1974,男,31
乔西·查尔斯,傲骨贤妻 第一季 The Good Wife Season 1,2009,actor2,drama,1971,男,38
瑞秋·布罗斯纳安,纸牌屋 第三季 House of Cards Season 3,2015,actor5,drama,1990,女,25
瑞秋·布罗斯纳安,了不起的麦瑟尔夫人 第一季 The Marvelous Mrs. Maisel Season 1,2017,actor1,drama,1990,女,27
萨曼莎·莫顿,名姝 第二季 Harlots Season 2,2018,actor1,drama,1977,女,41
莎拉·杰茜卡·帕克,欲望都市 第四季 Sex and the City Season 4,2001,actor1,drama,1965,女,36
莎拉·杰茜卡·帕克,欲望都市  第五季 Sex and the City Season 5,2002,actor1,drama,1965,女,37
莎拉·杰茜卡·帕克,欲望都市 第六季 Sex and the City Season 6,2003,actor1,drama,1965,女,38
莎拉·杰茜卡·帕克,欲望都市  第二季 Sex and the City Season 2,1999,actor1,drama,1965,女,34
莎拉·杰茜卡·帕克,欲望都市 第三季 Sex and the City Season 3,2000,actor1,drama,1965,女,35
山姆·尼尔,都铎王朝 第一季 The Tudors Season 1,2007,actor2,drama,1947,男,60
史蒂芬·莫耶,天赋异禀 第一季 The Gifted Season 1,2017,actor1,drama,1969,男,48
史蒂夫·布西密,大西洋帝国 第一季 Boardwalk Empire Season 1,2010,actor1,drama,1957,男,53
泰瑞·海切尔,绝望主妇 第三季 Desperate Housewives Season 3,2006,actor1,drama,1964,女,42
坦迪·牛顿,西部世界 第二季 Westworld Season 2,2018,actor2,drama,1972,女,46
坦迪·牛顿,西部世界 第一季 Westworld Season 1,2016,actor4,drama,1972,女,44
唐尼·沃尔伯格,兄弟连 Band of Brothers,2001,actor2,drama,1969,男,32
托马斯·吉布森,犯罪心理 第一季 Criminal Minds Season 1,2005,actor2,drama,1962,男,43
托马斯·吉布森,犯罪心理 第二季 Criminal Minds Season 2,2006,actor4,drama,1962,男,44
瓦格纳·马拉,毒枭 第一季 Narcos Season 1,2015,actor1,drama,1976,男,39
威廉姆·皮特森,犯罪现场调查 第一季 CSI: Crime Scene Investigation Season 1,2000,actor1,drama,1953,男,47
薇诺娜·瑞德,怪奇物语 第一季 Stranger Things Season 1,2016,actor1,drama,1971,女,45
温特沃斯·米勒,越狱  第二季 Prison Break Season 2,2006,actor1,drama,1972,男,34
温特沃斯·米勒,越狱  第四季 Prison Break Season 4,2008,actor1,drama,1972,男,36
温特沃斯·米勒,越狱  第三季 Prison Break Season 3,2007,actor1,drama,1972,男,35
温特沃斯·米勒,越狱 第一季 Prison Break Season 1,2005,actor1,drama,1972,男,33
吴珊卓,实习医生格蕾 第一季 Grey's Anatomy Season 1,2005,actor2,drama,1971,女,34
伍迪·哈里森,真探 第一季 True Detective Season 1,2014,actor2,drama,1961,男,53
辛西娅·尼克松,欲望都市 第三季 Sex and the City Season 3,2000,actor4,drama,1966,女,34
辛西娅·尼克松,欲望都市  第二季 Sex and the City Season 2,1999,actor4,drama,1966,女,33
辛西娅·尼克松,欲望都市 第六季 Sex and the City Season 6,2003,actor4,drama,1966,女,37
辛西娅·尼克松,欲望都市  第五季 Sex and the City Season 5,2002,actor4,drama,1966,女,36
辛西娅·尼克松,欲望都市 第四季 Sex and the City Season 4,2001,actor4,drama,1966,女,35
休·丹西,汉尼拔 第一季 Hannibal Season 1,2013,actor1,drama,1975,男,38
休·劳瑞,豪斯医生 第一季 House M.D. Season 1,2004,actor1,drama,1959,男,45
亚伦·保尔,绝命毒师 第一季 Breaking Bad Season 1,2008,actor2,drama,1979,男,29
亚伦·保尔,绝命毒师  第五季 Breaking Bad Season 5,2012,actor2,drama,1979,男,33
亚伦·保尔,绝命毒师  第三季 Breaking Bad Season 3,2010,actor2,drama,1979,男,31
伊德里斯·艾尔巴,火线 第一季 The Wire Season 1,2002,actor3,drama,1972,男,30
伊丽莎白·莫斯,广告狂人 第一季 Mad Men Season 1,2007,actor2,drama,1982,女,25
伊丽莎白·莫斯,使女的故事 第一季 The Handmaid's Tale Season 1,2017,actor1,drama,1982,女,35
伊萨克·亨普斯特德-怀特,权力的游戏 第六季 Game of Thrones Season 6,2016,actor3,drama,1999,男,17
伊萨克·亨普斯特德-怀特,权力的游戏  第二季 Game of Thrones Season 2,2012,actor4,drama,1999,男,13
伊萨克·亨普斯特德-怀特,权力的游戏 第一季 Game of Thrones Season 1,2011,actor1,drama,1999,男,12
伊萨克·亨普斯特德-怀特,权力的游戏 第三季 Game of Thrones Season 3,2013,actor4,drama,1999,男,14
伊万杰琳·莉莉,迷失 第一季 Lost Season 1,2004,actor5,drama,1979,女,25
约翰·道曼,火线 第一季 The Wire Season 1,2002,actor2,drama,1945,男,57
约翰·弗朗西斯·戴利,怪胎与书呆 Freaks and Geeks,1999,actor2,drama,1985,男,14
约翰·诺贝尔,危机边缘 第一季 Fringe Season 1,2008,actor2,drama,1948,男,60
约翰尼·盖尔克奇,生活大爆炸  第四季 The Big Bang Theory Season 4,2010,actor1,drama,1975,男,35
约翰尼·盖尔克奇,生活大爆炸 第七季 The Big Bang Theory Season 7,2013,actor1,drama,1975,男,38
约翰尼·盖尔克奇,生活大爆炸  第一季 The Big Bang Theory Season 1,2007,actor2,drama,1975,男,32
约翰尼·盖尔克奇,生活大爆炸  第二季 The Big Bang Theory Season 2,2008,actor2,drama,1975,男,33
约翰尼·盖尔克奇,生活大爆炸  第五季 The Big Bang Theory Season 5,2011,actor1,drama,1975,男,36
约翰尼·盖尔克奇,生活大爆炸 第六季 The Big Bang Theory Season 6,2012,actor1,drama,1975,男,37
约翰尼·盖尔克奇,生活大爆炸 第十二季 The Big Bang Theory Season 12,2018,actor2,drama,1975,男,43
